Row,Provider,Error Message,Error Code,Website
81,Seagate,Server didn't send data, ,http://www.i365.com
138,Halogen Software,HTTPError,404,http://ir.halogensoftware.com/company/investors/overview/default.ASPx
176,NeuSoft,Server didn't send data, ,http://www.neusoft.com/
261,Opentrust Keynectis,Server didn't send data, ,http://www.keynectis.com/
265,Sword,HTTPError,404,http://www.sword-group.com/English/Pages/Home.ASPx
269,Innovis Data Solutions,HTTPError,404,https://www.innovis.com/InnovisWeb/aboutInnovis.html
286,Zyncro,Server didn't send data, ,http://www.zyncro.com/en/
301,IMC AG,Incomplete Read Error, ,http://www.im-c.de
316,Allott Optenet,Duplicate, ,See Allott
334,Sabre Abacus,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://Bought by Sabre
340,DealerSocket Autostar,Duplicate, ,See DealerSocket
344,Attensity Group,HTTPError,404,http://www.attensity.com/home/
358,Xactly Corp.,HTTPError,403,https://www.xactly.com/
372,Maxsi Ltd,HTTPError,404,http://www.evisitanalyst.com/
407,edge IPK Ltd,Server didn't send data, ,http://www.edgeipk.com/
449,Compario,HTTPError,404,http://www.compario.net/
479,DealerSocket FEX DMS,Duplicate, ,See DealerSocket (2)
480,Brightpearl,Incomplete Read Error, ,https://www.brightpearl.com/
505,Clarity Health Services,HTTPError,503,http://www.clarityhealth.com/
519,Capita,HTTPError,404,http://www.capita-softwareandmanagedservices.co.uk/Pages/Home.ASPx
521,Asiainfo,HTTPError,404,http://www.asiainfo-linkage.com/Home.ASPx
546,IRIS Software,HTTPError,404,http://www.irissoft.com/Home/tabid/36/Default.ASPx
550,RAS (Rent a Software),HTTPError,401,http://www.rentasw.net
586,Tennaxia,HTTPError,404,http://www.tennaxia.com/public/index.php/accueil-tennaxia.html
589,Pomeroy/BluePoint Data Inc.,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://www.bluepointdata.com
594,Coupa ZenPurchase,Duplicate, ,See Coupa
599,bigWebApps,HTTPError,404,http://www.bigwebapps.com/about-us/
605,Able Commerce,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://blog.ablecommerce.com/
623,Centric Software,HTTPError,404,http://www.centricsoftware.com/Home.ASPx
626,Effisoft,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://www.effisoft-consulting.com/default.ASPx?langue=en
634,Collabor,Server didn't send data, ,http://www.collabor.com/
635,EMBRIA Technologies,HTTPError,404,http://www.embria.com.br/HTMLS/br/com/embria/www_embria/versao_06/servlet/en-gb/index.html
636,x4,HTTPError,400,http://www.softwarex4.com/
638,Chang Yi,HTTPError,404,http://www.changyi.com/english/company/overview.htm
645,Healy Hudson Holding,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://www.healy-hudson-holding.ch/?lng=en&content=portfolio
659,Inca Internet,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://biz.nprotect.com
666,Litebi,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://www.litebi.com
669,Hogia Group,HTTPError,404,http://www2.hogia.se/website3/1.0.3.0/149/2/index.php
673,Amber Road ecVision,Duplicate, ,See Amber Road
677,Customer Mantra,Server didn't send data, ,http://www.customermantra.com/
